fips,area_name,Population 2014,18 and younger (%),Female,White,Minority,Black,American Indian/Alaskan Native,Asian,Native Hawaiian/Pacific Islander,Two or More Races,Hispanic or Latino,"White, not Hispanic or Latino",Foreign born persons,Language other than English spoken at home,High school,College,Veterans,Commute,Median household income,Poverty,Total number of firms,Black-owned firms,American Indian- and Alaska Native-owned firms,Asian-owned firms,Native Hawaiian- and Other Pacific Islander-owned firms,Hispanic-owned firms,Hispanic-owned firms,Population per square mile,Democrat_votes,Dvotes_of_total_votes,Dvotes_of_population,Republican_votes,Rvotes_of_total_votes,Rvotes_of_population,Total Votes,Winning_party
34000,New Jersey,8938175,22.5,51.2,73,27,14.8,0.6,9.4,0.1,2.1,19.3,56.8,21.2,30,88.1,35.8,437652,30.4,71629,10.4,781622,7.7,0.4,8.7,0.1,8.7,27.3,1195.5,877496,0.664155856,0.098173956,443724,0.335844144,0.049643691,1321220,Democrat
35000,New Mexico,2085572,24.1,50.5,82.8,17.3,2.5,10.4,1.7,0.2,2.5,47.7,38.9,9.8,36.1,83.6,25.8,172717,21.6,44927,20.4,157231,1.2,5.3,2.1,0.1,23.6,31.7,17,214307,0.692358141,0.102756942,95225,0.307641859,0.045658937,309532,Democrat
36000,New York,19746227,21.4,51.5,70.4,29.6,17.6,1,8.5,0.1,2.4,18.6,56.5,22.1,29.9,85.2,33.2,912499,31.6,58003,15.3,1956733,10.4,0.7,10.1,0.1,9.9,30.4,411.2,1817552,0.676540337,0.092045534,868987,0.323459663,0.044007749,2686539,Democrat
37000,North Carolina,9943964,23,51.3,71.5,28.6,22.1,1.6,2.7,0.1,2.1,9,64.1,7.6,10.9,84.9,27.3,724295,23.6,46334,17.5,798791,10.5,1,2.5,0.1,2.7,28.2,196.1,1076699,0.492600013,0.108276639,1109048,0.507399987,0.111529768,2185747,Republican
38000,North Dakota,739482,22.8,48.7,89.1,10.9,2.1,5.4,1.3,0.1,2,3.2,86.6,2.7,5.3,90.9,27.2,53157,16.9,53741,11.9,61546,0.3,1.6,0.7,0,0.5,24.8,9.7,354,1,0.000478713,,0,0,354,N/A
39000,Ohio,11594163,22.8,51.1,83,17.1,12.6,0.3,2,0.1,2.1,3.5,80.1,4,6.6,88.5,25.2,864923,23,48308,15.8,897939,5.8,0.3,2,0,1.1,27.7,282.3,1192815,0.372269341,0.102880648,2011357,0.627730659,0.173480138,3204172,Republican
40000,Oklahoma,3878051,24.6,50.5,75.1,24.9,7.7,9,2.1,0.2,5.9,9.8,67,5.5,9.4,86.4,23.5,312492,21,45339,16.9,333797,3.1,6.3,2,0,2.3,25.3,54.7,313392,0.409062252,0.080811727,452731,0.590937748,0.116741889,766123,Republican
41000,Oregon,3970239,21.6,50.5,87.9,12.1,2,1.8,4.3,0.4,3.6,12.5,77,9.8,14.8,89.4,29.7,323205,22.5,50229,16.2,348154,1.2,1.2,3.6,0.2,3.3,29.8,39.9,572485,0.612955379,0.14419409,361490,0.387044621,0.091049934,933975,Democrat
42000,Pennsylvania,12787209,21.1,51.1,82.9,17.1,11.6,0.3,3.3,0.1,1.8,6.6,77.9,6,10.3,88.7,27.5,943417,25.9,52548,13.3,981501,4.6,0.3,3.2,0,2.3,27,283.9,1638644,0.515890616,0.12814712,1537696,0.484109384,0.120252668,3176340,Democrat
44000,Rhode Island,1055173,20.2,51.5,85.1,14.9,7.7,0.9,3.5,0.2,2.6,14,74.5,13.1,21.1,85.2,31.3,70621,23.6,56361,13.6,96822,3.3,0.4,2.1,0,6,27.3,1018.1,119213,0.663791663,0.112979578,60381,0.336208337,0.057223792,179594,Democrat
45000,South Carolina,4832482,22.4,51.4,68.3,31.6,27.8,0.5,1.5,0.1,1.7,5.4,63.9,4.8,6.8,84.5,25.1,391660,23.5,44779,18.1,360397,12.1,0.5,1.8,0.1,1.7,27.6,153.9,367491,0.332448291,0.076046015,737917,0.667551709,0.152699379,1105408,Republican
46000,South Dakota,853175,24.7,49.7,85.7,14.4,1.9,8.9,1.3,0.1,2.2,3.6,83,2.8,6.8,90.4,26.2,67886,16.9,49495,14.1,76997,0.3,2.2,0.6,0,0.8,22.2,10.7,53004,0.442138454,0.06212559,66877,0.557861546,0.078386029,119881,Republican
47000,Tennessee,6549352,22.8,51.3,78.9,21,17.1,0.4,1.7,0.1,1.7,5,74.6,4.6,6.6,84.4,23.8,484901,24.3,44298,17.6,545348,8.4,0.5,2,0.1,1.6,25.9,153.9,365637,0.304551315,0.055827966,834939,0.695448685,0.127484215,1200576,Republican
48000,Texas,26956958,26.4,50.4,80,19.9,12.5,1,4.5,0.1,1.8,38.6,43.5,16.3,34.7,81.2,26.7,1583272,25,51900,17.6,2164852,7.1,0.9,5.3,0.1,20.7,28.2,96.3,1410641,0.340086487,0.052329384,2737248,0.659913513,0.101541428,4147889,Republican
49000,Utah,2942902,30.7,49.7,91.4,8.6,1.3,1.5,2.4,1,2.4,13.5,79.3,8.2,14.3,90.9,30.3,143771,21.4,58821,12.7,246393,0.5,0.6,1.9,0.3,3.7,24.9,33.6,76999,0.302903585,0.02616431,177204,0.697096415,0.060214034,254203,Republican
50000,Vermont,626562,19.4,50.7,95,5,1.2,0.4,1.6,0,1.8,1.8,93.5,4.1,5.2,91.4,34.8,48456,22.2,54267,11.8,78729,0,0.5,0.8,0,0.6,26,67.9,134198,0.695470564,0.214181518,58762,0.304529436,0.093784813,192960,Democrat
51000,Virginia,8326289,22.4,50.8,70.5,29.4,19.7,0.5,6.3,0.1,2.8,8.9,63.1,11.3,14.9,87.5,35.2,726470,27.7,63907,11.3,638643,9.9,0.5,7,0.1,4.5,30.1,202.6,778865,0.434714055,0.093542874,1012807,0.565285945,0.121639664,1791672,Republican
53000,Washington,7061530,22.7,50,80.7,19.4,4.1,1.9,8.2,0.7,4.5,12.2,70.4,13.2,18.5,90,31.9,582265,25.7,59478,13.4,551340,0,1.2,6.8,0.2,3.2,28.7,101.2,26299,0.048960253,0.003724264,510851,0.951039747,0.072342821,537150,Republican
54000,West Virginia,1850326,20.5,50.6,93.7,6.2,3.6,0.2,0.8,0,1.6,1.5,92.5,1.4,2.4,83.9,18.3,159448,25.5,41043,17.9,120381,0,0,1.3,0,0.7,28.1,77.1,210214,0.527709162,0.113609169,188138,0.472290838,0.101678299,398352,Democrat
55000,Wisconsin,5757564,22.6,50.3,87.8,12.1,6.6,1.1,2.6,0,1.8,6.5,82.2,4.7,8.6,90.4,26.8,408870,21.7,52413,13,433797,2.6,0.6,1.6,0,1.3,25.9,105,1000703,0.482638196,0.173806665,1072699,0.517361804,0.186311259,2073402,Republican
56000,Wyoming,584153,23.7,49,92.7,7.4,1.6,2.7,1,0.1,2,9.8,84.1,3.3,6.8,92.4,24.7,50852,18.3,57406,11.5,61179,0.2,0.8,0.7,0,2.8,25.5,5.8,280,0.236686391,0.000479326,903,0.763313609,0.001545828,1183,Republican
